Domain,Project Name,Professor,UID,Description,Number of students,Year of study,CPI,Prerequisites,Duration,Learning outcome,Weekly time commitment,Assignment,Instructions for assignment,Additional key points
Earth Sciences,Graphic Data Representation in Palaeontology,Professor: JAHNAVI PUNEKAR,UID: ES01,"The time series climate, geochemical and species datasets are vast and require innovative ways of representation for efficient data analysis. This project invites enthusiastic sophomores (and others) with a good basic coding skills and aesthetic sense to generate R, MATLAB and Python codes for specific graphic representation styles.",1,"Students entering their 2nd year, Students entering their 3rd year",Greater than 7.0,Basic coding skills,1 month,"Understanding new types of datasets, and how palaeontology helps with understanding the history of life on earth.
Student should be genuinely interested and consistent with effort as this is a very small project.","3 hours, 1 meeting","https://micropalaeos.wixsite.com/micropalaeos;      
https://youtu.be/I60dW6C_3Q4?feature=shared; https://www.sciencedirect.com/science/article/pii/S0921818120302034",,undefined
Educational Technology,"Questions that select the ‘babu’: A comparative analysis of India’s UPSC Civil Services Examination question topics, trends and patterns",Professor: Syaamantak Das,UID: ET01,Project details - https://docs.google.com/document/d/1iMMJJzr9YVhzELYNSqt8q-jGH2i3NsbyMnh4oyLA5XY/edit?usp=sharing,2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",None,"Skills required: Text mining, natural language processing (NLP), topic modeling, and data visualization techniques can be used to analyze the textual content of the questions and identify dominant topics and their trends. Also, some machine learning algorithms may be required (e.g. Logistic regression, decision trees, random forests) for predictive analysis. 


Effort required: 120 hours over a period of two months (60 days: 2 hours daily).",2 months (June /July - August).,You will be proficient in Mixed Method Data analysis and develop skills in machine learning /data analysis domain. I expect you to write a paper. Target Publication: Either a paper (preferably) or poster in LAK (https://www.solaresearch.org/events/lak/lak25/general-call/) conference 2025. Deadline (Early September: Before Midsem),"14 hours (2 hours daily). Can get reduced, if you know how to automate things. Meeting - Once a week (mandatory) and whenever you need.","https://carnegieendowment.org/research/2016/09/the-indian-administrative-service-meets-big-data?lang=en

Although, the above resource is not a paper per se, there is actually no paper that addresses the proposed work (surprising, but true). If you find any, add it in your SOP.",Write your SOP honestly. In your SOP explain how you will approach the solution for the given research problem. Try to be as detailed as possible. Interview questions will be asked from SOP.,undefined
Educational Technology,Design and Development of a web tool for validation and evaluation of reliable information through FAIR yardsticks,Professor: Syaamantak Das,UID: ET02,"Misinformation through faux/fake content by influencers (FAUX-FLU) is a serious concern, especially in the context of education data. Although there are several fact-checking tools, most of them don’t work in real time. And by that time the damage has already been done. In this research, we are trying to develop a web-based tool that can do real-time content validation and evaluation using the FAIR yardsticks. We primarily focus on extracting metadata from video and text content, performing FAIR benchmarks, and providing a score with recommendations about the content’s validity for reliable information.",2,"Students entering their 3rd year, Students entering their 4th/5th year",None,"Frontend:
HTML, CSS, JavaScript, React.js, Bootstrap

Backend:
Python, Django or Flask, BeautifulSoup, NLP Libraries (e.g., NLTK, spaCy): For text analysis and content evaluation.

Database:
PostgreSQL or MongoDB

Deployment:
Docker, Kubernetes, AWS/GCP/Azure",2 months (60 days) initially. Can be converted in BTP/MTP if you are interested.,You will learn how to build a web application from scratch that can validate a content's authenticity. Also you should write a paper targeted to ICSE 2025 (https://conf.researchr.org/track/icse-2025/icse-2025-nier). Deadline October 10.,Meeting once a week (mandatory). Weekly commitment: 7-10 hours.,https://drive.google.com/file/d/1mgX6qk07bGpgHN9BuPcmF-v1ZWOdceWQ/view?usp=drive_link,"Write your SOP honestly. In your SOP explain how you will approach the solution for the given research problem. Try to be as detailed as possible. Interview questions will be asked from SOP.
Feel free to email the professor for any question on the address- syaamantak.das@iitb.ac.in.",undefined
Electrical,Realising spin-valley qubits via machine learning paradigms,Professor: Bhaskaran M,UID: EE01,"The project involves a deep understanding of a new type of qubit in 2D systems. This project  will involve the design of 2D-spin valley qubits, their manipulation and control. Eventually we will design ML algorithms to achieve and optimise the same.",2,Students entering their 2nd year,9.2 and above,"interest in learning, coding and basic quantum physics.",as long as mutually decided.,Deep,varies.,,,undefined
Electrical,Hardware Security in 3D NAND flash memory technology,Professor: Prof Sandip Mondal,UID: EE02,"The 3-D NAND flash device has become an essential fragment of the cyber-physical systems to manage the enormous data bang in the era of the Internet of Things (IoT). Moreover, hardware security primitives such as physical unclonable function (PUF) have become crucial in the functional circuits of these cyber-physical systems for defense in contradiction of security susceptibilities and adversary attacks.",3,"Students entering their 3rd year, Students entering their 4th/5th year",8.5 and above,Python and C,1 years,3D NAND flash memory for Artificial Intelligence,20 Hrs,https://www.youtube.com/watch?v=45HAfu719iw,Need to submit their understanding (1 page),undefined
Electrical,Data Sanitization in Artificial Intelligence,Professor: Prof Sandip Mondal,UID: EE03,"Erasing information as a form of data from NAND flash memories suffers heavy overheads. Present resolutions comprise disconnecting the physical page addresses which makes data unreachable through typical lines, nevertheless, they bring the risk of data leakage. The SLC NAND flash memories have been. Data overwrite has been proposed with all-zero-in-place which is only applicable to the SLC NAND flash memories. This proposal introduces an immediate page data sanitization method for 3D MLC NAND flash memory devices that avoids leakage of erased information without any adverse effects on effective data in shared pages.",2,Students entering their 4th/5th year,8.5 and above,Python,1 year,Data sanitization using AI,20hrs,https://www.youtube.com/watch?v=45HAfu719iw,Understanding writup (1 page),undefined
Electrical,Measurement of the doping concentration in silicon solar cells,Professor: Anil Kottantharayil,UID: EE04,"Commercial silicon  solar cells are made on silicon wafers . The wafer suppliers typically specify a nominal excess carrier lifetime and resistivity. In the measurement of silicon solar cells, it is necessary to input the dopant density in the finished solar cell. This project aims to obtain the doping density of a finished solar cell from dark I-V and lighted I-V measurements. This is possible by inferring the capacitance by sweeping the voltage at diiferent rates and measuring the current or by measuring the IV with a flash lamp with different on times .",1,Students entering their 3rd year,8 and above,Should have done EE207 or equivalent.,2 months,The student will apply concepts learned in theory courses to industrial silicon solar cells.,40 hours and minimum once a week meet,,Interview will be based on EE207 or equivalent course.,undefined
Electrical,Diabetes Detection and Curing Using Neuromorphic Chip,Professor: Prof Sandip Mondal,UID: EE05,"Storing the charges in the material either in semiconductor, dielectric, or conductors are important to preserve the information for the future which caters to a diverse range of applications from biomedical sensor to quantum information processing. In-spite of extensive fundamental and engineering progress, a unified design of charge sensors that caters to this diversity is still absent. The technological objective today is to determine the maximum amount of charges present in the material due to the unavailability of charge-sensing materials",1,"Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Python code,1 year,Monitoring devices,20 hrs,"Storing the charges in the material either in semiconductor, dielectric, or conductors
are important to preserve the information for the future which caters to a diverse range of
applications from biomedical sensor to quantum information processing. In-spite of extensive fundamental and engineering progress, a unified design of charge sensors that caters to this diversity is still absent. The technological objective today is to determine the maximum amount of charges present in the material due to the unavailability of charge-sensing materials",Several materials available online,undefined
Electrical,Designing of smart door bell,Professor: Prof Sandip Mondal,UID: EE06,Image recognizable door bell need to design.,2,"Students entering their 3rd year, Students entering their 4th/5th year",8.5 and above,Basic electronics,3 months,Smart door bell,20 hrs,Available online,Half page summery,undefined
Electrical,Vibration Noise analysis for System Health monitoring of Super High pressure Compressor,Professor: Prof Siddhartha Prakash Duttagupta,UID: EE07,"The real-time health monitoring of a super high-pressure compressor through vibration noise analysis. By analyzing the frequency spectrum of the compressor's vibrations, subtle changes indicative of wear, misalignment, or other mechanical issues are detected. Advanced signal processing techniques, such as FFT, coupled with machine learning algorithms, provide a reliable means for predictive maintenance, minimizing downtime, and optimizing operational efficiency. Experimental validation will confirm the effectiveness, thereby enabling proactive maintenance strategies.",3,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,NA,1 year,Hands-on-experience on Hardware and software setups,20 hrs + Thrice a week meeting,,,undefined
Electrical,"Micro electro luminesce enabled photocatalytic electrolyser for H. E. study in metals, super-alloys(inconel 718)",Professor: Prof. Siddhartha P Duttagupta,UID: EE08,"Photocatalysis leads to formation of hydrogen from water due to application solar energy. Use of photocatalytic materials like TiO2,Cu2O for water splitting devices like photo-electro chemical devices. Photo driven catalytic devices will be created with the help of ECDM micro-machining. Hydrogen thus created from the PDC device.",3,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,None,1 year,Hands-on Experience on hardware and software setup,20Hrs + Thrice a week meeting,,,undefined
Electrical,Machine Learning enabled rapid pattern recognition for mmWave Biomarker sensing.,Professor: Prof. Siddhartha Prakash Duttagupta,UID: EE09,Development of robust and automated systems for biomarker detection and analysis with high sensitivity and specificity by combining mmWave spectroscopic imaging with advanced machine learning algorithms. Feature extraction of mmWave spectroscopic images of biomarker samples followed by Image processing by training and prediction of ML models. Learning and optimizing complex patterns in the mmWave images to identify biomarkers rapidly through ML models. Deployment of trained models to perform rapid inference on new mmWave spectroscopic images of biomarker samples for classification and analysis to enable fast and accurate recognition of biomarkers.,3,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",None,NA,1 year,Hands-on-experience on software & hardware setups,20 hrs+ Thrice a week meeting,,,undefined
Electrical,Sustainable Optimization of Renewable energy platforms,Professor: Prof.Siddhartha Prakash Duttagupta,UID: EE10,"The integration of thermal and optical imagery, employing drones and sensors alongside
sustainable AI models, to address operational challenges in solar power plants. By identifying issues such as shading, dust accumulation, and panel damage, early detection and maintenance become feasible, enabling dynamic strategies for optimizing energy efficiency and reliability. The methodology involves data collection, preprocessing, and model development, utilizing artificial neural networks (ANNs) to analyse images and sensor data. Dynamic shading analysis and aerosol/weather impact assessment further enhance predictive modelling, culminating in real-time monitoring and optimization of solar panel performance. This holistic approach promises to establish a cost-effective hybrid predictive system tailored for large solar power plants, ensuring practical implementation and sustainable operation.",3,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,NA,1 year,Hands-on-experience on software and hardware setups,20 Hrs + Thrice a week meeting,,,undefined
Electrical,An Autonomous Water Quality Monitoring and Water Treatment System for Waterbodies,Professor: Rajdip Bandyopadhyaya,UID: EE11,"We have been developing a complete water quality monitoring system consisting of a core module hosting an array of electrode/optical probe-based sensors for monitoring standard water-body parameters such as pH, temperature conductivity, turbidity, oxidation-reduction potential (ORP), dissolved oxygen (DO) etc., and reagent based quantification modules for specific chemical pollutants (e.g., fluoride - an inorganic pollutant, arsenic and chromium - metal pollutants etc.). Additional sensor modules can be installed to the core module, when required for a specific water body. The station is IOT enabled, and sensor readings are relayed to a wireless gateway at periodic intervals, which should be accessible anywhere in the world through a web interface. The entire system is envisaged to be locally powered at the deployment site, by a solar panel-battery combination, with uninterrupted operation over several weeks, without any manual intervention. One has to work in an interdisciplinary team and it will involve PCB design, microprocessor programming and sensors as research areas.",2,"Students entering their 3rd year, Students entering their 4th/5th year",Greater than 7.0,Willing to learn new things,Summer months and beyond based on mutual interest,Further progress in performance to be done in the existing working device,20 hours per week and 2-3 meetings with me or my PhD student working on it,should visit our lab. to see and know the current autonomous sensor stations and their working first hand,Explain their understanding of the current sensor stations and devices in our lab. and their capability and plan to progress the work forward,undefined
Energy,Design and development of power-electronic converter for electric vehicle charging,Professor: S Ravi Prakash Reddy,UID: EN01,"There is an increased attention towards the faster adoption of electric vehicles(EVs) globally due to various environmental concerns. Power electronics plays a very significant role in both the propulsion and charging of electric vehicles. Charging of an electric vehicle from grid typically involves AC-DC and DC-DC power conversion stages. This project aims to get student familiarised with the various EV charging technologies, standards and power converter topologies. Subsequently, the design, modulation and control of power converter topology will be performed  and the same will be validated through simulation as well as experimental results.",1-2,"Students entering their 3rd year, Students entering their 4th/5th year",7 and above,Basic knowledge in the area of power electronics will be helpful,2-3 months,The students will be able to understand and demonstrate the working and functionality of a EV charger,One meeting every week,,,undefined
Energy,System Identification/Parameter Estimation Using Optimisation Techniques,Professor: S Ravi Prakash Reddy,UID: EN02,"Accurate knowledge of system parameters becomes very important in various applications. Estimating these parameters using optimisation methods involves minimising cost/objective function by iteratively estimating the model parameters. Accurate convergence of parameters being estimated becomes a major concern, especially while dealing with complex dynamic systems. This project aims to investigate various optimisation techniques to accurately estimate parameters of a physical system, using both the time domain and frequency domain approaches.",1-2,"Students entering their 3rd year, Students entering their 4th/5th year",minimum of 7,Basic  knowledge on optimisation techniques is desirable,2-3 months,The students will be expected to get well familiarised with the optimisation tools and their application for system identification,Meeting once a week,,,undefined
Energy,Machine learning assisted analysis of bubbling in a fluidized bed,Professor: Manaswita Bose,UID: EN03,"Fluidization is one of the most widely used unit operations in process industries. They are also used in thermal power plants, thermal storage units, petroleum and petro-chemical industries. One of the methods to simulate fluidized beds are using continuum description. The objective of the project is to explore the capabilities of machine learning algorithms to predict the bubbling behaviour of particles in a fluidized beds.",1,"Students entering their 3rd year, Students entering their 4th/5th year",above 6,"Credited fluid mechanics course, has interest in coding",two months,Student is expected to learn to simulate multi phase flow using at least one CFD software.,30 -36 hours (weekly meeting),"Li, D., Zhao, B., Wang, J. (2023). Data-driven identification of coherent structures in
gas–solid systems using proper orthogonal decomposition and dynamic mode
decomposition. Physics of Fluids. 1 January 2023; 35 (1):
013321.                  https://doi.org/10.1063/5.0131112.",The student is expected to summarize the article shared with this form.,undefined
Energy,Cool building materials,Professor: Karthik Sasihithlu,UID: EN04,"Passive cooling coatings have received a lot of attention recently since they have potential to reduce cooling power requirements by atleast 2-4 degrees C. However such specialized paint coatings are not feasible for India not just from affordability point of view but also due to harsh climatic conditions which leads to frequent peeling of such coatings.  

-> We will develop a novel cement plaster composition with improved cooling power compared to normal cement plaster which will be of particular utility in high heat-stress zones of India

- > Use of agricultural by-products like rice husk, and bagasse from sugarcane industry will be explored for this objective. These have high silica content which is useful for increasing the emissive properties of the plaster coating - thus increasing its cooling power.

-> There is potential to publish in journals any good results obtained in the project",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,None,2 months; can be extended depending on motivation shown,Working on a project with immediate societal and environmental impact,25-30 hours per week; can meet once a week. Daily interaction with Phd students,https://journals.aps.org/prmaterials/abstract/10.1103/PhysRevMaterials.6.090201#fulltext,Understand how passive cooling is achieved via radiative coatings,undefined
Environmental,Heatwave impact on air quality,Professor: Abhishek Chakraborty,UID: ENV01,"2024 has witnessed some of the intense heat wave episodes in recent history. Extreme heat and intense solar radiation could impact air quality, especially in urban locations. This project will evaluate the possible impacts of heatwave on various air quality parameters in several Indian cities using publically available data, which may be supplemented by dield studies.",2,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,"Good data analytics and coding skills, ability to aquire and analyze data quickly with plots and diagnostics, must have completed ES200/250 course. Must be willing to work sincerely for a tangible outcome like publications etc.",6-8 months,A peer reviewed journal publication,"8 hours a week, and weekly/once in two weeks meeting",,Search relevant papers in SciFinder and come prepared for the interview and write a good SOP.,undefined
Koita Centre for Digital Health (KCDH),Statistical models for characterizing similar cell states for community-scale single-cell data,Professor: Saket Choudhary,UID: DH01,"Single-cell data has seen exponential growth over the past decade. The development of molecular 'atlases' has provided unprecedented resolution for deciphering molecular mechanisms of gene regulation in the human body. However, these datasets remain largely unexplored from an ‘integration’ viewpoint - what and how molecular mechanisms get rewired in diseases. The goal of this project would be to develop large-scale statistical models to a) ‘harmonize’ cellular states across individuals, b) Decipher celltype-specific changes in molecular states across individuals, c) Identify the impact of covariates (sex, age, ethnicity) on changes in molecular states across individuals with a particular focus on diseases and ultimately d) developing a mechanistic understanding of how changes in DNA sequence drive the changes characterized as parts of aims b and c. Besides deciphering the mechanistic principle of gene regulation that will have a huge translational impact, the student will get extensive training in analyzing large-scale single-cell data and developing statistical models for interpreting genomics data applicable to the broader single-cell and bioinformatics community.",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7 and above,Basic knowledge of biology recommended but not necessary; Introduction to generalized linear models recommended but not necessary,3-6 months,"The student will get extensive training in analyzing large-scale single-cell data and developing statistical models for interpreting genomics data applicable to the broader single-cell and bioinformatics community. Skills developed during the course of the project will be useful in both industrial and academic settings (grad schools). Besides this, you willg get hands on training on how to read, summarize,  think and solve research problems.",30-40 hours,https://drive.google.com/file/d/1gRwTFclvVxtNc8hj9TJ6M0aFyUC3iReh/view?usp=sharing,Summarize the broad thematic areas of the review article. Focus on what assumptions are needed for modelling population scale data (Box 2),undefined
Koita Centre for Digital Health (KCDH),Developing statistical models for predicting celltype-specific effect of non-coding mutations,Professor: Saket Choudhary,UID: DH02,"Mutations in non-coding DNA sequences are frequently associated with diseases. A current challenge in the field is to predict the effect of a non-coding mutation on gene expression given the cryptic and 
highly redundant nature of the non-coding regulatory sequences. While population genetic studies have been successful in identifying genomic loci associated with disease, they have limited interpretability for two primary reasons. First, these methods struggle at distinguishing between disease-causal and disease-associated genetic variants because of linkage disequilibrium. Second, these methods are limited in terms of their statistical power to discover associations involving rare variants.

Recent advances in deep learning have enabled integrating information from long-range interactions (up to 100kb away) in the genome to predict gene expression from DNA sequences alone. These 
methods have enabled a novel way to distill large amounts of genomic and phenotypic information into a single model. The high accuracy of these models at predicting gene expression from DNA sequence alone indicates that they are able to recognize features of the DNA sequence which are highly predictive of the phenotype (gene expression).

The current state-of-the-art (Enformer)  models to predict expression from DNA sequence alone were trained using bulk RNA-seq data which limits their ability to predict the expression state in all disease-relevant cell types in the human brain system. This project will extend the current state-of-the-arts sequence-to-expression model to  predict the impact of mutations in the non-coding genome in a celltype-specific manner by incorporating single-cell data spanning multiple species. Students will get hands-on training to apply deep learning on multiomics datasets.",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7 and above,Basic knowledge of biology recommended but not necessary; Prior experience of working with deep learning models recommended but not necessary,3-6 months,Students will get hands-on training to apply deep learning on multiomics datasets. Avenues for being co-authors in any publication resulting from work. Skills learned as part of the project are directly relevant to bith industry and academia (grad schools).,30-40 hours,https://drive.google.com/file/d/14ppymhNpz_R5pi1k_bP6HpHnkDHhOpju/view?usp=sharing,Summarize how deep learning is currently being used for problems in genomics following the attached pdf. Write a two page summary of the entire article.,undefined
Koita Centre for Digital Health (KCDH),Characterizing non-invasive biomarkers of fatty liver disease using comparative single-cell multiomics,Professor: Saket Choudhary,UID: DH03,"Metabolic-associated steatotic liver disease (MASLD) or Non-alcholic fatty liver disease (NAFLD) is a chronic progressive disease arising from fat buildup in the liver leading to its inflammation, fibrosis, and cirrhosis. Liver histology is currently the reference standard for diagnosing and assessing disease progression, but biopsies are invasive and difficult to perform in steatotic patients because of health risks besides being prone to subjective variation in pathological interpretation. Despite its high prevalence, with every third adult in India suffering from MASLD}, there is a lack of robustly validated biomarkers for prognosis, diagnosis, and continuous monitoring of disease progression or regression.  With the advent of high-throughput genomics, we can characterize gene expression levels and associated regulatory states in individual celltypes across multiple donors. While a number of transcriptomic studies have been performed on MASLD patients, there have been no attempts at systematically characterizing and validating reproducible biomarkers associated with MASLD-induced pathogenicity across studies and individuals. Our project will perform large-scale analysis of single-cell RNA and open chromatin datasets to identify functional, reproducible, and validated biomarkers for MASLD.  Students will get hands-on training in genomics, statistical methods development and machine learning with a focus on transcriptomics datasets and will get to collaborate with clinicians.",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7 and above,Preliminary knowledge of biology recommended but not necessary; Prior exposure to statistical models recommended but not necessary,3-6 months,"Students will get hands-on training in genomics, statistical methods development and machine learning with a focus on transcriptomics datasets and will get to collaborate with clinicians.",30-40 hours,https://drive.google.com/file/d/1K8bGxW1AgdX1WvndeJC8Ty7v0ovYltkH/view?usp=sharing,Please summarize the attached pdf in two pages - focus on the important problems that have been solved in liver biology so far using single transcriptomics and spatial transcriptomics.,undefined
Mathematics,Option pricing using neural networks,Professor: S. Baskar,UID: MT01,"Artificial Neural Networks (ANNs) have been successfully employed in approximating nonlinear functions and solving differential equations (DEs). Unlike traditional methods, ANNs do not assume any predefined functional relationship between input data and output, making them a powerful tool for function approximation. Recently, there has been a significant increase in research activities focused on using ANNs to enhance computational efficiency in option valuation by learning from the results of established option pricing models, such as the Black-Scholes and Heston models. The aim of this project is to train a student in the application of ANN tools for option pricing models.",1,"Students entering their 3rd year, Students entering their 4th/5th year",8.5 and above,"Calculus, ODEs, Probability, and Python programming.",50 days,The student is expected to gain hands-on experience and insights into using ANNs in option valuation.,Commitment: 4 hours per day and for 6 days per week. Meeting: Atleast 2 times per week.,,,undefined
Mechanical Engineering,Investigating combustion behaviour of metal nanoparticle based nanofuel droplets,Professor: Abhijeet Kumar,UID: ME01,Nanofuel is the next generation aviation fuel. It consists of metallic/metal oxide nanoparticles suspended in the base fuel. It exhibits higher calorific value and lower volumetric emission of greenhouse gases. This project aims to investigate the combustion behaviour of nanofuel droplets via different optical diagnostic techniques to determine the combustibility and temperature field in the nanofuel droplet flame.,1,"Students entering their 3rd year, Students entering their 4th/5th year",7.0 and above,"Student should have an understanding of fluid mechanics, thermodynamics and heat transfer.",1 year,"Learning outcome for the student: He/she will get to understand how to approach a practical problem via concepts that he/she has already learnt in previous semesters. He/she will also get exposure to the industrial problems. He/she will also get to learn various interesting experimental techniques.

Expectations from the student: He/she should be eager to learn new things and explore further. He/she should have the capability to grasp the problem and think of a suitable solution apart from the ones told to him/her.","15 hours/week, and the student should meet atleast once a week. He/she is free to get in touch anytime in case of any query or doubt.",https://iitbacin-my.sharepoint.com/:f:/g/personal/abhijeet_kumar_iitb_ac_in/EqM64-ohWURKu8C5r4aVD7YBpGZox9EQ_rOn4fsrgDie3g?e=pfa4am,"Student should go through literature consistently, and present a short report every week on atleast 2-4 papers.",undefined
Mechanical Engineering,Technoeconomic analysis of hydrogen production via electrochemical water-splitting,Professor: Ankit Jain,UID: ME02,Develop python based model for technoeconomic analysis of green hydrogen production via different electrochemical routes.,2,"Students entering their 3rd year, Students entering their 4th/5th year",Greater than 8,"familarity with Python programming, interest/present value calculations, etc.",6-12 months,Economic feasibility of various green hydrogen production routes,weekly 8 hours and students shall meet 1-2 times a week.,,,undefined
Mechanical Engineering,Automated Tool Wear Analysis,Professor: Soham Mujumdar,UID: ME03,"This project aims to develop cutting-edge algorithms combining machine learning and image processing to automate the analysis of optical images of cutting tools (drills, endmills, etc.). The primary goal is to accurately determine geometrical parameters (dia, angles, etc.) and detect tool wear. The project will involve data collection, image preprocessing, machine learning model training, and the creation of a user-friendly interface. 
Requirements, 
1.        The objective is to develop a software to determine geometrical parameters (dia, angles, etc.) and measure tool wear (in mm) from optical images. Here are the requirements, 
a.        Must work with images with different magnification levels (the images will include scale-bars)
b.        Should be automated with minimal user intervention and the ability to batch-process
c.        Achieve measurement accuracy within a tolerance of less than 10%, validated through verification on ten randomly selected test images.
2.        Students have the flexibility to choose any tools or technologies to fulfil the specified requirements. Sample images will be provided initially for development and testing purposes. In the event that a substantial number of images are necessary, it is the responsibility of the students to collect the additional images required for the project.
3.        Students are required to submit regular progress reports at least once every two weeks.
4.        Until project deliverables are successfully met, students are not permitted to include this project on their resumes/CVs.
5.        The developed software will be released as open source.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7 and above,"Coding, Image processing, Microscopy",Minimum 3 months,"Hands-on experience with image processing, AI, GUI","Students are required to submit regular progress reports at least once every two weeks. Until project deliverables are successfully met, students are NOT permitted to include this project on their resumes/CVs.",There was a team of students from previous iSURP which was working on this. You may use some of their reports to learn more about the project.,https://docs.google.com/forms/d/16UrHJS7J7vH37b0TjZdNgkxJYcOKwKhbwxK6T6hvnCw/viewform?edit_requested=true&pli=1,undefined
Mechanical Engineering,High-power Square Wave Power Supply,Professor: Soham Mujumdar,UID: ME04,"The project aims to design and fabricate a power supply with following capabilities, 
a.	Produces a continuous DC square wave with adjustable voltage from 0 – 200V, and max. current 50A 
b.	Adjustable pulse-on and pulse-off time
c.	Single pulse generation with a trigger 
Students are required to submit regular progress reports at least once every two weeks.
Until project deliverables are successfully met, students are not permitted to include this project on their resumes/CVs.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7 and above,Good with electrical circuits,Minimum 2 months,Hands on experience with PCB design and testing,"Students are required to submit regular progress reports at least once every two weeks. Until project deliverables are successfully met, students are NOT permitted to include this project on their resumes/CVs.",,,undefined
Mechanical Engineering,Modelling of Aspheric/Free-from Surfaces for Telescope Optics,Professor: Rakesh Mote,UID: ME05,"An optical system using aspheric lenses has the potential to be smaller than an equivalent
optical system with spherical lenses. Additionally it is common for aspheric surfaces to be used to correct spherical departures, coma, astigmatism and distortion, as well as to avoid pupil aberrations. 
The project aims at modelling the aspheric surfaces and development of fabrication/metrology protocols for ultra-precision manufacturing",2,"Students entering their 3rd year, Students entering their 4th/5th year",Above 7.5,Mathematics. Computational geometry,6 m to 1 yr,"Surface modelling, applications to advanced optics used in space, ophthalmic domain.",1-2 hrs per week and meeting on each alternate week,https://doi.org/10.1117/12.2056496,Student is expected to understand the basics,undefined
Mechanical Engineering,Dynamics of Kirigami Metamaterials,Professor: R. Ganesh,UID: ME06,"Metamaterials are a class of artificially designed structures whose properties are a function of the constituent material, as well as the geometry/topology of the structure. For example, an auxetic 2D-Lattice subjected to a uniaxial stretch expands in the orthogonal direction, thereby demonstrating an effective “negative” Poisson’s ratio (in contrast, the constituent material has a positive Poisson’s ratio).  Since the architecture or geometry plays an important role in the unconventional properties, Kirigami, the art of cutting paper to form 3-D shapes starting from 2-D sheets has been found to be quite relevant to the design of mechanical metamaterials. Specifically, application of load to a 2-D sheet architected with small cuts induces out-of-plane buckling of the individual links, and results in the introduction of bending stiffness to the structure (which is negligible in the uncut specimen due to its negligible thickness). An interesting application of these structures is in the field of soft robotics, where shape morphing is employed to elicit locomotion through deformation. However, most studies focus only on rectilinear locomotion. In this project, we will intend to explore the ability to achieve shape morphing and realize various modes of deformation-induced locomotion (such as bending/twisting) through a localized dynamic excitation and making it completely reversible.",1/2,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,A background in Solid Mechanics (ideally a grade of BB or above in ME 201/202/223 or any other department equivalent). Interest in exploring experimental research.,Interested students can explore the project during the Autumn semester and continue working on it if they are interested to pursue SLP/BTP/DDP,"Exposure to cutting-edge research in the field of Mechanical Metamaterials. Practical experience in building physical models and various testing methodologies. Experience using computational modeling software.
Students should commit to working on the project through the entire duration of the SURP.",6 hours per week during Autumn semester. Weekly update meetings.,"i) Introductory video: https://www.youtube.com/watch?v=QGNL5LLeTyg
ii) https://onlinelibrary.wiley.com/doi/full/10.1002/adem.202300583 - Accessible via IITB. Reach out to me if you are not able to access the article.",Students should go through the paper link above and gauge their interest in building similar experimental specimens and perform testing on campus.,undefined
Metallurgy and Material Sciences (MEMS),AI/ML assisted design of perovskite based piezoelectric material,Professor: Prasanna Mural,UID: MM01,"This study utilizes a machine learning strategy to efficiently predict and design perovskite-based piezoelectric materials, overcoming the limitations of traditional experimental and computational approaches. By identifying critical physical quantities such as first ionization energy and formation energy, the research provides a rapid and accurate method for exploring various doped compositions, exemplified by the discovery of a remarkably high d33 value.",1,Students entering their 3rd year,6.5 and above,NIL,6 months,"Students will learn how to apply machine learning techniques to predict and design piezoelectric materials, focusing on critical physical properties like first ionization energy and formation energy. They will gain experience in validating ML predictions with experimental data, ensuring consistency and accuracy. Additionally, students are expected to explore various doping compositions and propose innovative solutions for enhancing piezoelectric performance.",once,,,undefined
